mesh_id,opt,nopt
203218,462.52811,168.572439
79177,5.976489,2.729792
1435439,280.457897,136.580673
39166,28.430411,15.152591
311332,64.262494,34.876791
88614,110.370128,47.753982
82055,257.286374,178.86134
985160,101.281209,24.800163
801729,84.196589,30.132007
259164,177.593283,63.463325
1396890,125.360399,26.525425
67858,369.744531,163.490472
153368,19.571908,13.027321
135673,194.887607,8.621284
43748,17.972294,5.782821
88381,60.68228,26.751474
1036657,138.586151,36.764733
84810,54.643271,33.468786
650185,129.74357,32.48132
249521,12.924551,11.931894
113862,98.607367,3.614926
260221,87.182095,7.28228
1706465,119.042124,18.688815
1452668,12.160032,5.53052
1047981,97.648708,22.720995
914686,441.261451,176.255114
71160,86.168258,19.915394
90434,30.359875,27.480445
90287,98.937247,14.093666
1146261,145.602232,27.830725
94192,1512.10544,2170.059944
591240,69.427846,26.14547
814669,33.618375,15.699978
399559,148.762804,37.412231
285368,15.331432,4.374783
501151,144.812629,43.092086
702396,242.617344,83.445707
74242,31.082513,11.871889
247515,178.599619,47.301155
46647,225.580719,64.85127
441717,159.804641,14.286877
653931,438.195211,408.249742
68731,193.300733,48.428265
39967,52.066017,34.96589
110356,81.764391,24.248904
940040,47.687106,13.23401
270454,71.016055,1.238621
110907,131.088961,57.313393
331795,397.279243,312.346229
40117,251.643705,86.43996
42330,200.970377,61.393673
527631,815.664299,465.265525
108451,328.45585,35.069974
83688,81.692186,6.10504
42839,65.842977,25.018742
44011,263.61728,85.621064
1454389,198.859225,43.900223
130031,18.571075,14.123592
54230,16.334322,14.619504
242232,195.86922,56.409185
48552,173.714096,63.796752
940381,17.634542,14.042591
1458677,198.996743,34.305441
325155,631.937676,672.949988
51806,49.435939,25.342781
195700,403.999236,214.063423
39751,89.183801,21.327621
84510,26.868612,8.602888
277703,1335.296932,1263.737083
45009,184.093697,52.203424
136393,52.641232,30.003516
98020,78.824016,4.137811
167109,159.319197,70.979673
124361,215.47896,64.832038
1458684,61.537588,18.173507
40662,40.301489,12.271145
124533,75.003548,1.848203
94145,127.685732,25.012474
93075,9.509394,7.208086
1322469,383.641507,219.34685
353684,192.588071,16.244343
63450,44.458586,22.358496
1450322,97.002045,16.654433
70374,29.113348,10.199254
1005270,175.607782,33.179489
206038,531.920579,267.374261
45512,156.275935,67.658838
52564,38.201512,20.829779
1126609,198.815149,92.568182
331804,309.520538,226.128986
105348,248.336687,92.172942
1172870,1033.80667,1404.914709
635746,56.121914,10.801653
98669,38.182546,20.780501
76897,85.531774,10.465395
65282,62.543295,33.122083
61136,31.311498,17.222899
56096,53.815638,33.317766
125069,358.109896,157.987826
58876,91.889069,28.018892
94241,349.175511,229.178361
203983,406.016974,198.897731
112855,192.991838,120.46344
88024,319.281904,154.545208
966908,223.706542,54.603957
84620,137.884723,33.078731
60955,174.551438,45.265763
1146181,83.643852,19.020529
63422,66.359594,28.87983
56934,337.684093,160.51194
472106,64.399349,8.834737
116891,14.755406,9.793163
579369,76.579345,10.13049
441616,632.137472,253.255214
109015,220.851547,36.34501
41275,169.187846,30.67123
59710,17.14041,6.862506
39647,56.911409,14.536192
43690,93.687863,2.902542
719791,405.692607,304.842702
472072,32.0418,16.074088
52054,160.621236,54.656344
762595,153.9507,11.676094
44001,94.971037,11.965533
498454,8077.776996,3862.038562
59494,27.244294,20.804762
76200,129.511871,42.216371
93842,452.981048,177.933931
42822,83.697362,27.82919
919995,107.061033,27.04883
1681121,87.577952,4.984898
398304,259.565465,119.2775
73020,715.676168,418.608249
46774,281.455308,157.522042
286162,129.691878,27.478453
702412,90.606508,29.675669
736124,92.278657,32.148424
59760,21.160905,13.545442
112537,379.801953,100.273898
66483,263.879317,88.500543
546448,137.725933,0.257208
113867,46.929913,0.401277
77280,65.371041,34.48947
57428,567.503939,611.120107
129988,145.634898,27.151683
451676,432.708579,150.188022
814664,92.694953,7.401839
247674,126.563349,50.70837
110803,15.698842,9.272636
281457,110.410827,19.240483
124369,42.697396,22.892887
71531,191.066312,10.310029
108446,928.048149,55.564438
250143,74.188958,18.975407
472093,172.827284,76.24874
60918,177.655909,51.294018
1582377,10.873359,8.0411
446787,481.343266,274.204617
87343,717.787671,430.367304
95663,317.888826,80.621333
1312966,268.532265,91.046412
270323,165.963745,69.503162
1158269,396.50336,179.355885
95763,1332.361777,683.497575
1396893,100.921447,24.770298
1368068,928.077135,583.657892
65582,41.75665,24.71174
41110,42.029983,20.314431
1120773,39.591406,17.680212
42727,23.159549,18.912882
53120,11.915873,10.50333
71623,94.375012,3.217395
55178,355.426785,146.828679
50736,49.32266,28.46794
1228193,63.23645,9.558178
178202,29.410104,19.774228
1490843,37.649319,26.909316
98656,73.742909,30.71939
108517,31.029744,17.012911
343549,26.126336,18.347
1312968,136.249798,30.531075
51352,212.739552,87.72953
88616,44.108133,32.151635
40311,36.932788,25.28039
434512,115.615384,17.714918
103085,32.794379,20.689737
46840,305.24011,99.734182
